id_date;date;id_semaine
1;18/03/2020;id_S1
2;19/03/2020;id_S1
3;20/03/2020;id_S2
4;21/03/2020;id_S2
5;22/03/2020;id_S2
6;23/03/2020;id_S2
7;24/03/2020;id_S2
8;25/03/2020;id_S2
9;26/03/2020;id_S2
10;27/03/2020;id_S3
11;28/03/2020;id_S3
12;29/03/2020;id_S3
13;30/03/2020;id_S3
14;31/03/2020;id_S3
15;01/04/2020;id_S3
16;02/04/2020;id_S3
17;03/04/2020;id_S4
18;04/04/2020;id_S4
19;05/04/2020;id_S4
20;06/04/2020;id_S4
21;07/04/2020;id_S4
22;08/04/2020;id_S4
23;09/04/2020;id_S4
24;10/04/2020;id_S5
25;11/04/2020;id_S5
26;12/04/2020;id_S5
27;13/04/2020;id_S5
28;14/04/2020;id_S5
29;15/04/2020;id_S5
30;16/04/2020;id_S5
31;17/04/2020;id_S6
32;18/04/2020;id_S6
33;19/04/2020;id_S6
34;20/04/2020;id_S6
35;21/04/2020;id_S6
36;22/04/2020;id_S6
37;23/04/2020;id_S6
38;24/04/2020;id_S7
39;25/04/2020;id_S7
40;26/04/2020;id_S7
41;27/04/2020;id_S7
42;28/04/2020;id_S7
43;29/04/2020;id_S7
44;30/04/2020;id_S7
45;01/05/2020;id_S8
46;02/05/2020;id_S8
47;03/05/2020;id_S8
48;04/05/2020;id_S8
49;05/05/2020;id_S8
50;06/05/2020;id_S8
51;07/05/2020;id_S8
52;08/05/2020;id_S9
53;09/05/2020;id_S9
54;10/05/2020;id_S9
55;11/05/2020;id_S9
56;12/05/2020;id_S9
57;13/05/2020;id_S9
58;14/05/2020;id_S9
59;15/05/2020;id_S10
60;16/05/2020;id_S10
61;17/05/2020;id_S10
62;18/05/2020;id_S10
63;19/05/2020;id_S10
64;20/05/2020;id_S10
65;21/05/2020;id_S10
66;22/05/2020;id_S11
67;23/05/2020;id_S11
68;24/05/2020;id_S11
69;25/05/2020;id_S11
70;26/05/2020;id_S11
71;27/05/2020;id_S11
72;28/05/2020;id_S11
73;29/05/2020;id_S12
74;30/05/2020;id_S12
75;31/05/2020;id_S12
76;01/06/2020;id_S12
77;02/06/2020;id_S12
78;03/06/2020;id_S12
79;04/06/2020;id_S12
80;05/06/2020;id_S13
81;06/06/2020;id_S13
82;07/06/2020;id_S13
83;08/06/2020;id_S13
84;09/06/2020;id_S13
85;10/06/2020;id_S13
86;11/06/2020;id_S13
87;12/06/2020;id_S14
88;13/06/2020;id_S14
89;14/06/2020;id_S14
